"((1, 8, 0), (4, 5, 1))","[1939, array([-0.33693476,  1.5524097 ,  1.48247746, -1.08803317, -1.60991923])]"
"((1, 8, 0), (5, 0, 1))","[1165, array([-0.09451329,  1.61479573,  1.36865871, -1.5797536 , -1.30918754])]"
"((1, 8, 0), (3, 6, 1))","[1546, array([ 0.27964138,  1.37869441,  1.39904825, -1.34065687, -1.71672718])]"
"((1, 8, 0), (0, 6, 1))","[71, array([ 1.10482396,  1.3603002 ,  0.12295122, -0.79122136, -1.79685401])]"
"((1, 8, 0), (1, 4, 1))","[559, array([-0.27778938,  1.96967527,  1.15310841, -1.1888515 , -1.6561428 ])]"
"((1, 8, 0), (3, 5, 1))","[1605, array([ 0.01963363,  1.74440945,  1.18938553, -1.12284031, -1.8305883 ])]"
"((1, 8, 0), (1, 5, 1))","[829, array([-0.2546062 ,  2.03118174,  1.0547635 , -1.21816309, -1.61317595])]"
"((1, 8, 0), (4, 6, 1))","[1739, array([-0.14433162,  1.31386258,  1.69680629, -1.3996772 , -1.46666006])]"
"((1, 8, 0), (5, 6, 1))","[2366, array([ 0.12978563,  1.35194867,  1.40523171, -1.41489974, -1.47206627])]"
"((1, 8, 0), (3, 0, 1))","[214, array([-0.93423109,  2.15683018,  1.50778581, -1.25411798, -1.47626692])]"
"((1, 8, 0), (6, 7, 1))","[1036, array([ 0.36398523,  1.27449266,  1.37190726, -1.4882746 , -1.52211054])]"
"((1, 8, 0), (9, 6, 1))","[274, array([-0.72400686,  1.62136614,  1.81451212, -0.95958976, -1.75228163])]"
"((1, 8, 0), (6, 9, 1))","[123, array([ 0.19677331,  1.78057652,  1.04426914, -1.3436569 , -1.67796206])]"
"((1, 8, 0), (6, 8, 1))","[593, array([ 0.3159407 ,  1.2666594 ,  1.52228027, -1.74102563, -1.36385475])]"
"((1, 8, 0), (8, 8, 1))","[146, array([ 0.00626768,  1.39625408,  1.8497951 , -1.80956888, -1.44274797])]"
"((1, 8, 0), (5, 7, 1))","[736, array([-0.04026803,  0.95075891,  1.74970615, -1.60934095, -1.05085609])]"
"((1, 8, 0), (5, 9, 1))","[158, array([-0.12667361,  1.21004903,  1.87903532, -1.73474495, -1.22766579])]"
"((1, 8, 0), (5, 8, 1))","[508, array([ 0.06219952,  1.08183523,  1.58460545, -1.73100961, -0.99763059])]"
"((1, 8, 0), (1, 3, 1))","[779, array([-0.24672771,  1.65051968,  1.46492496, -1.48333912, -1.38537779])]"
"((1, 8, 0), (1, 2, 1))","[289, array([-0.25022525,  1.38860419,  1.53725151, -1.57822243, -1.09740801])]"
"((1, 8, 0), (0, 3, 1))","[87, array([ 1.12854392,  0.78365951,  1.36736245, -1.72352725, -1.55603864])]"
"((1, 8, 0), (0, 2, 1))","[56, array([-0.63799752,  0.78223072,  2.11505057, -1.32022171, -0.93906205])]"
"((1, 8, 0), (8, 7, 1))","[761, array([ 0.09372228,  1.27150236,  1.68167739, -1.2602624 , -1.78663963])]"
"((1, 8, 0), (9, 7, 1))","[249, array([ 0.20643102,  1.433875  ,  1.34047181, -1.15165242, -1.82912541])]"
"((1, 8, 0), (0, 4, 1))","[129, array([-0.44479896,  1.89628305,  1.37188785, -1.30021142, -1.52316052])]"
"((1, 8, 0), (4, 8, 1))","[223, array([-0.07364486,  1.60861378,  1.76235783, -1.65056633, -1.64676042])]"
"((1, 8, 0), (4, 7, 1))","[541, array([ 0.37232773,  0.5619428 ,  1.81051185, -1.70851787, -1.03626452])]"
"((1, 8, 0), (2, 0, 1))","[193, array([ 0.04798074,  1.3427294 ,  1.79488515, -1.96153498, -1.22406032])]"
"((1, 8, 0), (9, 8, 1))","[60, array([-0.0397149 ,  1.13477199,  2.28985778, -1.62447581, -1.76043905])]"
"((1, 8, 0), (0, 5, 1))","[216, array([-0.45156494,  1.90491721,  1.57369272, -1.45092647, -1.57611853])]"
"((1, 8, 0), (4, 9, 1))","[58, array([-0.93158386,  2.29326308,  1.34429236, -0.83984874, -1.86612283])]"
"((1, 8, 0), (3, 9, 1))","[33, array([ 2.20165865,  0.10572992,  2.03086402, -2.69572407, -1.64252851])]"
"((1, 8, 0), (0, 7, 1))","[25, array([-1.46793553,  0.45476392,  2.61491844, -1.09996551, -0.50178132])]"
"((1, 8, 0), (8, 9, 1))","[28, array([ 0.58550325,  0.21137942,  1.90525828, -2.4742714 , -0.22786954])]"
"((1, 8, 0), (1, 1, 1))","[77, array([ 1.08389747,  0.50518738,  1.4235688 , -2.14247601, -0.87017764])]"
"((1, 8, 0), (1, 9, 1))","[30, array([-3.04009606,  0.98080405,  3.59224398, -0.99333274, -0.53961924])]"
"((1, 8, 0), (1, 8, 1))","[28, array([-3.03942254,  0.98147757,  3.5929175 , -0.99602682, -0.53894572])]"
